OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
					115535475				
					115535462				
					115535411				
					115535452				
					115535426				
					115535451				
					115535428				
					115536050				
					115536207				
					115536301				
					115535530				
					115535243				
					115536220				
					115536213				
					115536362				
					115535930				
					115535739				
					115536200				
					115536375				
					115535633				
					115536965				
					115537442				
					115537631				
					115537434				
					115537362				
					115537381				
					115537107				
					115537662				
					115537230				
					115537003				
					115537548				
					115537444				
					115537526				
					115537691				
					115537696				
					115537793				
					115536856				
					115538207				
					115538251				
					115538874				
					115538983				
					115539000				
					115539043				
					115539083				
					115539091				
					115539123				
					115539112				
					115539118				
					115539132				
					115539178				
					115539283				
					115539293				
					115539302				
					115539295				
					115539306				
					115539296				
					115539304				
					115539290				
