OA_Downregulated	OA_Upregulated	Cold_Upregulated	Cold_Downregulated	Warm_Downregulated	Warm_Upregulated	Cold-OA_Upregulated	Cold-OA_Downregulated	Warm-OA_Upregualted	Warm-OA_Downregulated
				Q9D0S4	Q5RBI4			O00370	
				D0G895	Q90XW6			Q96DM1	
				Q5BJB7	P09593			Q6AZB8	
				O96006	Q148G5			P43081	
				A4FUZ6	Q80Z19			Q28084	
				Q9H1X3	Q80Z19			Q7SIB3	
				P00592	Q7RTR2			Q58L93	
				Q6DHJ3	Q66IF1			Q95SX7	
				Q96BP3	A7Z017			Q2PFW9	
				O43913	Q5SVZ6			P35384	
				Q7ZXF5	O70220			P16065	
				P97691	Q9Z111			Q9QYE7	
				Q5RI43	Q29297			P13731	
				Q6P158	Q07120			Q6P788	
				A4IHG1	Q8BJN4			Q5R4N8	
				Q8NB91	A0A0R4IY06			Q5R4N8	
				Q5R5Y2	Q98893			Q5R4N8	
				Q7TQ95	P20274			P60901	
				Q28DE0	Q7RTR2			P21329	
				Q6PHG2	P08575			Q03400	
				Q5DTV4	Q9TTC1			I3J7Q8	
				Q08639	Q58DX5			P43883	
				Q08639	P21328			Q7RTR2	
				P35621	Q28670			Q7SY54	
				A3KNA5	Q9NQX4			A0EQL2	
				A6NK06	O08755			A6NCF5	
				Q7ZUP1	O75462			P70691	
				P58557	Q28F43			Q91ZW9	
				Q9QZW9	P34457			O96006	
				Q1XHU0	Q16875			Q8HZJ4	
				P09084	Q04202			Q071E0	
				Q71U07	Q5JPB2			A0A0R4I9Y1	
				Q9JI99	Q03062			A0A0R4I9Y1	
				Q5SPB6	Q03062			A6NE02	
				Q5QT17	Q8BZ39			Q9NP86	
				Q8BJL1	Q9Y5R2			Q5VWI1	
				F1QDI9	Q5R541			Q5RBI7	
				Q60587	Q2KI97			Q9H0J4	
				Q9Y6M5	Q5TCQ9			O08852	
				P51916	Q66HE5			Q8N4S7	
				Q863Y8	F2Z333			O73916	
				Q99551	Q8BGN8			Q0EF98	
				A0A0R4IC37	Q8R151			P00774	
				Q6NRS2	Q9WUB0			Q5R1W5	
				Q96DM1	Q922M5			Q96L42	
				P11369	Q674X7			P79739	
				Q9NRG1	Q63ZI0			P20825	
				A0A2V5GX43	Q9BZP6			Q7RTR2	
				Q9UHE8	Q7RTR2			A1YPR0	
				Q7RTR2	Q91120			P24587	
				Q5PQN5	O35385			O95206	
				Q5R8Y5	P07589			P16951	
				Q3MHK4	Q96PZ7			Q9EQZ6	
				Q5SZI1	Q66KU1			Q92834	
				A2ACJ2	O08739			P04323	
				Q5CZR5	Q92087			Q2EMV9	
					P98088			Q9N2D9	
					P30937			B0S6S9	
					Q96LD4			P10043	
					Q5M872			P28022	
					Q0V9L3			P48646	
					Q8WVH0			P55164	
					P42583			Q9NZJ4	
					Q6DHV5			F1R237	
					P17655			Q8JIR8	
					P14381			P86178	
					P32418			Q71U07	
					P37206			Q6ZWR6	
					Q8K099			P43233	
					O57525			F6XZJ7	
					Q16352			C9JTQ0	
					Q9QXI3			Q9Y6A2	
					O00370			Q5TF21	
					Q17QR8			Q8CGM2	
					Q6PC54			Q49LS8	
					Q6AZB8			Q9UGM3	
					Q8NFP9			P20918	
					O35433			O08966	
					Q28084			Q0GNC1	
					Q7SIB3			Q922D8	
					P35384			P20825	
					P55344			Q62645	
					Q49HM9			P47971	
					P02524			P13701	
					Q9QYE7			Q63273	
					Q6P788			Q8UW64	
					P21329			Q8TGM7	
					Q8WZ42			O88536	
					Q6TEQ0			O19477	
					Q03400			Q24UI6	
					O94855			Q61772	
					Q7RTR2			Q28362	
					O94855			Q1L8U8	
					A0EQL2			Q9EQR3	
					A6NCF5			F1Q506	
					D6RIA3			Q9PTA0	
					Q7RTR2			P22448	
					Q91ZW9			P05099	
					A2AD83			Q9Y2I2	
					Q8HZJ4			Q6DGY7	
					Q071E0			Q91WG5	
					Q9NP86			I6XD69	
					Q5VWI1			Q92539	
					Q5RBI7			Q7RTR2	
					Q9D2L5			A6NKL6	
					Q9JKD8			Q7RTR2	
					Q29RR0			Q7RTR2	
					Q9JKF8			Q7RTR2	
					O08852			P03934	
					Q8N4S7			Q96LD4	
					Q6B8I1			Q5DU56	
					Q96MK3			Q7RTR2	
					O42281			Q96LD4	
					P00774			Q8IVU1	
					Q9QYJ4			Q8BKX6	
					Q96L42			Q7RTR2	
					P10978			Q91453	
					Q8I7P9			Q6AZB8	
					P20825			Q071E0	
					Q7RTR2				
					A1YPR0				
					A2CEA7				
					Q7RTR2				
					P24587				
					A1A4K8				
					Q04202				
					O95206				
					P58682				
					P16951				
					Q9EQZ6				
					Q8WXR4				
					Q460N5				
					Q2EMV9				
					Q64359				
					Q9N2D9				
					Q5R4Q6				
					Q90YT7				
					B0S6S9				
					P10043				
					P10043				
					P10043				
					P10043				
					P10043				
					P10043				
					P10043				
					P28022				
					P02530				
					P48646				
					P10043				
					Q460N5				
					P55164				
					Q9NZJ4				
					O54689				
					P86178				
					Q6ZWR6				
					O57521				
					P43233				
					C9JTQ0				
					Q8CGM2				
					Q8K1S5				
					O08966				
					Q7Z6R9				
					P20825				
					Q62645				
					P13701				
					Q8UW64				
					Q7RTR2				
					Q8TGM7				
					O88536				
					P04146				
					Q9BD50				
					O19477				
					Q24UI6				
					Q61772				
					Q1L8U8				
					Q9EQR3				
					O88705				
					F1Q506				
					Q9PTA0				
					P05099				
					A4FVJ7				
					P55344				
					P0C862				
					Q9Y2I2				
